1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,2,2,2,2,2
1,1,1,1,1,1,1,100,1,2,1,0,1,2,2,2,2,2,2,2
2,2,2,2,2,2,1,0,1,2,1,0,1,2,2,2,2,2,2,2
2,2,2,2,2,2,1,0,1,2,1,0,1,2,2,2,2,2,2,2
2,2,2,2,2,2,1,0,1,2,1,0,1,2,2,2,2,2,2,2
2,2,2,2,2,2,1,0,1,2,1,0,1,2,2,2,2,2,2,2
2,2,2,2,2,2,1,0,1,2,1,0,1,2,2,2,2,2,2,2
1,1,1,1,1,1,1,150,1,1,1,300,1,2,2,2,2,2,2,2
1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
1,0,0,0,0,3,0,4,0,0,0,0,1,2,2,2,2,2,2,2
1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
